Cycle ID,Cycle time [mS],Origin Addr,Destiny Addr,Distance (m),RX Power (dBm),Active
145,385,C1,B2,13.36,-90.30,1
145,385,B4,B2,-999.00,-999.00,0
146,374,C1,B3,-999.00,-999.00,0
146,374,C1,B4,-999.00,-999.00,0
146,374,B3,B2,26.92,-96.32,1
146,374,B3,B4,13.56,-91.18,1
146,374,C1,B2,13.86,-92.29,1
146,374,B4,B2,-999.00,-999.00,0
147,374,C1,B3,-999.00,-999.00,0
147,374,C1,B4,-999.00,-999.00,0
147,374,B3,B2,26.90,-98.46,1
147,374,B3,B4,13.51,-92.62,1
147,374,C1,B2,14.38,-81.42,1
147,374,B4,B2,-999.00,-999.00,0
148,597,C1,B3,-999.00,-999.00,0
148,597,C1,B4,-999.00,-999.00,0
148,597,B3,B2,-999.00,-999.00,0
148,597,B3,B4,-999.00,-999.00,0
148,597,C1,B2,15.03,-81.41,1
148,597,B4,B2,-999.00,-999.00,0
149,488,C1,B3,-999.00,-999.00,0
149,488,C1,B4,-999.00,-999.00,0
149,488,B3,B2,-999.00,-999.00,0
149,488,B3,B4,-999.00,-999.00,0
149,488,C1,B2,15.68,-93.14,1
149,488,B4,B2,-999.00,-999.00,0
150,905,C1,B3,9.18,-92.66,1
150,905,C1,B4,-999.00,-999.00,0
150,905,B3,B2,-999.00,-999.00,0
150,905,B3,B4,13.45,-91.89,1
150,905,C1,B2,16.60,-91.79,1
150,905,B4,B2,-999.00,-999.00,0
151,306,C1,B3,8.41,-85.81,1
151,306,C1,B4,-999.00,-999.00,0
151,306,B3,B2,-999.00,-999.00,0
151,306,B3,B4,13.53,-91.68,1
151,306,C1,B2,17.63,-98.55,1
151,306,B4,B2,-999.00,-999.00,0
152,523,C1,B3,7.87,-82.45,1
152,523,C1,B4,-999.00,-999.00,0
152,523,B3,B2,-999.00,-999.00,0
152,523,B3,B4,13.54,-90.21,1
152,523,C1,B2,18.38,-91.23,1
152,523,B4,B2,-999.00,-999.00,0
153,306,C1,B3,7.25,-84.59,1
153,306,C1,B4,-999.00,-999.00,0
153,306,B3,B2,-999.00,-999.00,0
153,306,B3,B4,13.41,-91.16,1
153,306,C1,B2,18.73,-88.48,1
153,306,B4,B2,-999.00,-999.00,0
154,633,C1,B3,6.85,-75.58,1
154,633,C1,B4,-999.00,-999.00,0
154,633,B3,B2,-999.00,-999.00,0
154,633,B3,B4,13.44,-93.17,1
154,633,C1,B2,19.97,-97.61,1
154,633,B4,B2,-999.00,-999.00,0
155,524,C1,B3,6.08,-78.65,1
155,524,C1,B4,-999.00,-999.00,0
155,524,B3,B2,-999.00,-999.00,0
155,524,B3,B4,13.43,-99.99,1
155,524,C1,B2,20.45,-90.06,1
155,524,B4,B2,-999.00,-999.00,0
156,670,C1,B3,5.70,-73.70,1
156,670,C1,B4,-999.00,-999.00,0
156,670,B3,B2,-999.00,-999.00,0
156,670,B3,B4,13.47,-94.83,1
156,670,C1,B2,20.56,-96.05,1
156,670,B4,B2,-999.00,-999.00,0
157,1256,C1,B3,5.14,-80.36,1
157,1256,C1,B4,-999.00,-999.00,0
157,1256,B3,B2,-999.00,-999.00,0
157,1256,B3,B4,13.56,-90.39,1
157,1256,C1,B2,54.94,-93.84,1
157,1256,B4,B2,14.24,-97.83,1
158,1227,C1,B3,3.85,-73.26,1
158,1227,C1,B4,-999.00,-999.00,0
158,1227,B3,B2,-999.00,-999.00,0
158,1227,B3,B4,13.42,-93.34,1
158,1227,C1,B2,-999.00,-999.00,0
158,1227,B4,B2,14.22,-99.26,1
